,STATE/UT,DISTRICT,Year,Crime_Rate
0,ANDHRA PRADESH,ADILABAD,2019,0
1,ANDHRA PRADESH,ANANTAPUR,2019,1
2,ANDHRA PRADESH,CHITTOOR,2019,0
3,ANDHRA PRADESH,CUDDAPAH,2019,1
4,ANDHRA PRADESH,EAST GODAVARI,2019,1
5,ANDHRA PRADESH,GUNTAKAL RLY.,2019,1
6,ANDHRA PRADESH,GUNTUR,2019,1
7,ANDHRA PRADESH,HYDERABAD CITY,2019,1
8,ANDHRA PRADESH,KARIMNAGAR,2019,1
9,ANDHRA PRADESH,KHAMMAM,2019,1
10,ANDHRA PRADESH,KRISHNA,2019,1
11,ANDHRA PRADESH,KURNOOL,2019,1
12,ANDHRA PRADESH,MAHABOOBNAGAR,2019,1
13,ANDHRA PRADESH,MEDAK,2019,1
14,ANDHRA PRADESH,NALGONDA,2019,0
15,ANDHRA PRADESH,NELLORE,2019,0
16,ANDHRA PRADESH,NIZAMABAD,2019,0
17,ANDHRA PRADESH,PRAKASHAM,2019,0
18,ANDHRA PRADESH,RANGA REDDY,2019,0
19,ANDHRA PRADESH,SECUNDERABAD RLY.,2019,0
20,ANDHRA PRADESH,SRIKAKULAM,2019,0
21,ANDHRA PRADESH,VIJAYAWADA,2019,0
22,ANDHRA PRADESH,VIJAYAWADA RLY.,2019,0
23,ANDHRA PRADESH,VISAKHA RURAL,2019,0
24,ANDHRA PRADESH,VISAKHAPATNAM,2019,0
25,ANDHRA PRADESH,VIZIANAGARAM,2019,0
26,ANDHRA PRADESH,WARANGAL,2019,0
27,ANDHRA PRADESH,WEST GODAVARI,2019,0
28,ANDHRA PRADESH,TOTAL,2019,0
29,ARUNACHAL PRADESH,CHANGLANG,2019,0
30,ARUNACHAL PRADESH,DIBANG VALLEY,2019,0
31,ARUNACHAL PRADESH,KAMENG EAST,2019,0
32,ARUNACHAL PRADESH,KAMENG WEST,2019,0
33,ARUNACHAL PRADESH,LOHIT,2019,0
34,ARUNACHAL PRADESH,PAPUM PARE,2019,0
35,ARUNACHAL PRADESH,SIANG EAST,2019,0
36,ARUNACHAL PRADESH,SIANG UPPER,2019,0
37,ARUNACHAL PRADESH,SIANG WEST,2019,0
38,ARUNACHAL PRADESH,SUBANSIRI LOWER,2019,0
